order_id,customer_id,product_name,quantity,price,order_date,status
1001,C101,Wireless Mouse,2,699,2026-07-15,Delivered
1002,C102,Mechanical Keyboard,1,2499,2026-07-15,Delivered
1003,C103,Laptop Stand,3,999,2026-07-15,Pending
1004,C104,USB-C Hub,2,1599,2026-07-15,Delivered
1005,C105,Gaming Headset,1,3499,2026-07-15,Cancelled
1006,C101,Monitor 24 Inch,1,10999,2026-07-15,Delivered
1007,C106,Office Chair,2,8999,2026-07-15,Delivered
1008,C107,Smart Watch,1,6999,2026-07-15,Pending
1009,C108,Power Bank,4,1799,2026-07-15,Delivered
1010,C109,Coffee Mug,5,199,2026-07-15,Delivered
1011,C110,Notebook,10,99,2026-07-15,Delivered
1012,C111,Bluetooth Speaker,2,2999,2026-07-15,Cancelled
1013,C112,Desk Lamp,3,1299,2026-07-15,Delivered
1014,C113,Phone Charger,6,499,2026-07-15,Delivered
1015,C114,External SSD,1,5499,2026-07-15,Pending
